version,version_id,name,star,use,own,use_rate,own_rate,collection,rank_class
v3.2(Phase I),4,Kuki Shinobu,4,4812,39879,12.1,80.5,-,b
v3.2(Phase I),4,Qiqi,5,738,39564,1.9,79.9,-,f
v3.2(Phase I),4,Mona,5,8034,39573,20.3,79.9,-,a
v3.2(Phase I),4,Jean,5,996,39468,2.5,79.7,-,f
v3.2(Phase I),4,Nahida,5,21804,36432,59.8,73.6,-,s
v3.2(Phase I),4,Raiden Shogun,5,27330,34851,78.4,70.4,-,s1
v3.2(Phase I),4,Ayaka,5,18720,33729,55.5,68.1,-,s
v3.2(Phase I),4,Dori,4,111,32487,0.3,65.6,-,f
v3.2(Phase I),4,Aloy,5,12,32385,0.1,65.4,-,f
v3.2(Phase I),4,Venti,5,7857,29568,26.6,59.7,-,a
v3.2(Phase I),4,Candace,4,30,29160,0.1,58.9,-,f
v3.2(Phase I),4,Ganyu,5,9588,28920,33.2,58.4,-,a
v3.2(Phase I),4,Sangonomiya Kokomi,5,20676,26559,77.8,53.6,-,s1
v3.2(Phase I),4,Yelan,5,17793,25827,68.9,52.2,-,s
v3.2(Phase I),4,Yoimiya,5,5331,21402,24.9,43.2,-,a
v3.2(Phase I),4,Hu Tao,5,7284,21201,34.4,42.8,-,a
v3.2(Phase I),4,Xiao,5,3180,16479,19.3,33.3,-,b
v3.2(Phase I),4,Yae Miko,5,6174,16203,38.1,32.7,-,s
v3.2(Phase I),4,Nilou,5,9027,15969,56.5,32.3,-,s
v3.2(Phase I),4,Klee,5,669,14511,4.6,29.3,-,f
v3.2(Phase I),4,Tighnari,5,2370,14292,16.6,28.9,-,b
v3.2(Phase I),4,Kamisato Ayato,5,4932,13854,35.6,28.0,-,s
v3.2(Phase I),4,Tartaglia,5,3858,12993,29.7,26.2,-,a
v3.2(Phase I),4,Albedo,5,1836,11664,15.7,23.6,-,b
v3.2(Phase I),4,Arataki Itto,5,1644,10791,15.2,21.8,-,b
v3.2(Phase I),4,Cyno,5,4182,10377,40.3,21.0,-,s
v3.2(Phase I),4,Shenhe,5,4275,10329,41.4,20.9,-,s
v3.2(Phase I),4,Eula,5,1272,8445,15.1,17.1,-,b
v3.2(Phase II),5,Lisa,4,45,59562,0.1,100.0,-,f
v3.2(Phase II),5,Kaeya,4,234,59562,0.4,100.0,-,f
v3.2(Phase II),5,Ambor,4,78,59562,0.1,100.0,-,f
v3.2(Phase II),5,Collei,4,4422,59562,7.5,100.0,-,b
v3.2(Phase II),5,Barbara,4,4143,59562,7.0,100.0,-,b
v3.2(Phase II),5,Noelle,4,300,59562,0.5,100.0,-,f
v3.2(Phase II),5,Xiangling,4,30060,59562,50.6,100.0,-,s
v3.2(Phase II),5,Bennett,4,45510,59442,76.6,99.9,-,s1
v3.2(Phase II),5,Fischl,4,8322,59163,14.1,99.9,-,b
v3.2(Phase II),5,Xingqiu,4,37266,59238,62.9,99.9,-,s
v3.2(Phase II),5,Razor,4,48,58863,0.1,98.8,-,f
v3.2(Phase II),5,Sucrose,4,2181,58653,3.7,98.5,-,f
v3.2(Phase II),5,Thoma,4,282,58509,0.5,98.2,-,f
v3.2(Phase II),5,Ningguang,4,726,58407,1.2,98.1,-,f
v3.2(Phase II),5,Xinyan,4,18,58353,0.1,98.0,-,f
v3.2(Phase II),5,Diona,4,11070,58380,19.0,98.0,-,b
v3.2(Phase II),5,Beidou,4,585,57576,1.0,96.7,-,f
v3.2(Phase II),5,Yanfei,4,1392,57588,2.4,96.7,-,f
v3.2(Phase II),5,Sayu,4,69,57453,0.1,96.5,-,f
v3.2(Phase II),5,Yun Jin,4,5955,56913,10.5,95.6,-,b
v3.2(Phase II),5,Rosaria,4,1851,56430,3.3,94.7,-,f
v3.2(Phase II),5,Chongyun,4,204,56313,0.4,94.5,-,f
v3.2(Phase II),5,Dori,4,117,56130,0.2,94.2,-,f
v3.2(Phase II),5,Zhongli,5,44196,54951,80.4,92.3,-,s1
v3.2(Phase II),5,Kujou Sara,4,5562,54450,10.2,91.4,-,b
v3.2(Phase II),5,Shikanoin Heizou,4,162,53661,0.3,90.1,-,f
v3.2(Phase II),5,Kaedehara Kazuha,5,42405,51177,82.9,85.9,-,s1
v3.2(Phase II),5,Nahida,5,35937,50940,70.5,85.5,-,s1
v3.2(Phase II),5,Gorou,4,2160,49674,4.3,83.4,-,f
v3.2(Phase II),5,Diluc,5,1422,49167,2.9,82.5,-,f
v3.2(Phase II),5,Keqing,5,4068,49101,8.3,82.4,-,b
v3.2(Phase II),5,Mona,5,9150,48711,18.8,81.8,-,b
v3.2(Phase II),5,Jean,5,1710,48543,3.5,81.5,-,f
v3.2(Phase II),5,Qiqi,5,867,48489,1.8,81.4,-,f
v3.2(Phase II),5,Kuki Shinobu,4,6141,48165,12.7,80.9,-,b
v3.2(Phase II),5,Raiden Shogun,5,21972,42045,52.3,70.6,-,s
v3.2(Phase II),5,Ayaka,5,18909,40608,46.6,68.2,-,s
v3.2(Phase II),5,Aloy,5,33,39348,0.1,66.1,-,f
v3.2(Phase II),5,Venti,5,10560,36519,28.9,61.3,-,a
v3.2(Phase II),5,Ganyu,5,13614,36411,37.4,61.1,-,s
v3.2(Phase II),5,Candace,4,27,35397,0.1,59.4,-,f
v3.2(Phase II),5,Sangonomiya Kokomi,5,25014,33792,74.0,56.7,-,s1
v3.2(Phase II),5,Yelan,5,28800,33519,85.9,56.3,-,s1
v3.2(Phase II),5,Yoimiya,5,16227,27108,59.9,45.5,-,s
v3.2(Phase II),5,Hu Tao,5,14319,26283,54.5,44.1,-,s
v3.2(Phase II),5,Yae Miko,5,5022,22257,22.6,37.4,-,a
v3.2(Phase II),5,Tartaglia,5,9636,21594,44.6,36.3,-,s
v3.2(Phase II),5,Nilou,5,11490,20403,56.3,34.3,-,s
v3.2(Phase II),5,Arataki Itto,5,2187,20226,10.8,34.0,-,b
v3.2(Phase II),5,Xiao,5,2487,19425,12.8,32.6,-,b
v3.2(Phase II),5,Tighnari,5,3639,19044,19.1,32.0,-,b
v3.2(Phase II),5,Layla,4,84,18300,0.5,30.7,-,f
v3.2(Phase II),5,Klee,5,1299,17529,7.4,29.4,-,b
v3.2(Phase II),5,Kamisato Ayato,5,5364,16944,31.7,28.4,-,a
v3.2(Phase II),5,Eula,5,1086,15078,7.2,25.3,-,b
v3.2(Phase II),5,Albedo,5,2670,14376,18.6,24.1,-,b
v3.2(Phase II),5,Shenhe,5,2487,12759,19.5,21.4,-,b
v3.2(Phase II),5,Cyno,5,2793,11778,23.7,19.8,-,a
v3.2(Phase III),6,Lisa,4,39,49851,0.1,100.0,-,f
v3.2(Phase III),6,Kaeya,4,135,49851,0.3,100.0,-,f
v3.2(Phase III),6,Ambor,4,51,49851,0.1,100.0,-,f
v3.2(Phase III),6,Collei,4,3336,49851,6.7,100.0,-,b
v3.2(Phase III),6,Bennett,4,37722,49830,75.7,100.0,-,s1
v3.2(Phase III),6,Barbara,4,3357,49851,6.7,100.0,-,b
v3.2(Phase III),6,Noelle,4,228,49851,0.5,100.0,-,f
v3.2(Phase III),6,Xiangling,4,25464,49851,51.1,100.0,-,s
v3.2(Phase III),6,Fischl,4,6999,49578,14.1,99.9,-,b
v3.2(Phase III),6,Xingqiu,4,30147,49683,60.7,99.9,-,s
v3.2(Phase III),6,Razor,4,36,49290,0.1,98.9,-,f
v3.2(Phase III),6,Dori,4,96,49227,0.2,98.7,-,f
v3.2(Phase III),6,Sucrose,4,1449,49191,2.9,98.7,-,f
v3.2(Phase III),6,Thoma,4,231,49152,0.5,98.6,-,f
v3.2(Phase III),6,Ningguang,4,627,48963,1.3,98.2,-,f
v3.2(Phase III),6,Xinyan,4,18,48732,0.1,97.8,-,f
v3.2(Phase III),6,Diona,4,7911,48744,16.2,97.8,-,b
v3.2(Phase III),6,Beidou,4,315,48276,0.7,96.8,-,f
v3.2(Phase III),6,Yanfei,4,894,48258,1.9,96.8,-,f
v3.2(Phase III),6,Sayu,4,54,48222,0.1,96.7,-,f
v3.2(Phase III),6,Yun Jin,4,4002,47745,8.4,95.8,-,b
v3.2(Phase III),6,Rosaria,4,1185,47331,2.5,94.9,-,f
v3.2(Phase III),6,Chongyun,4,105,47121,0.2,94.5,-,f
v3.2(Phase III),6,Shikanoin Heizou,4,111,46683,0.2,93.6,-,f
v3.2(Phase III),6,Zhongli,5,36789,46173,79.7,92.6,-,s1
v3.2(Phase III),6,Kujou Sara,4,5310,45744,11.6,91.8,-,b
v3.2(Phase III),6,Nahida,5,33507,43443,77.1,87.1,-,s1
v3.2(Phase III),6,Kaedehara Kazuha,5,35871,42798,83.8,85.9,-,s1
v3.2(Phase III),6,Gorou,4,1983,42135,4.7,84.5,-,f
v3.2(Phase III),6,Diluc,5,1155,41733,2.8,83.7,-,f
v3.2(Phase III),6,Keqing,5,3774,41343,9.1,82.9,-,b
v3.2(Phase III),6,Mona,5,7062,41280,17.1,82.8,-,b
v3.2(Phase III),6,Qiqi,5,558,41175,1.4,82.6,-,f
v3.2(Phase III),6,Kuki Shinobu,4,6345,41121,15.4,82.5,-,b
v3.2(Phase III),6,Jean,5,1242,40971,3.0,82.2,-,f
v3.2(Phase III),6,Raiden Shogun,5,18336,35403,51.8,71.0,-,s
v3.2(Phase III),6,Ayaka,5,14019,34227,41.0,68.7,-,s
v3.2(Phase III),6,Aloy,5,15,32247,0.1,64.7,-,f
